City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,Fortuna,40.5982,-124.1573,51.33,71,4,1.99,US,2021-12-09 18:51:45
177,Atherton,53.5237,-2.4935,44.29,93,100,5.99,GB,2021-12-09 18:51:46
178,Antoniny,49.8097,26.8771,33.76,99,100,10.56,UA,2021-12-09 18:51:46
179,Bredasdorp,-34.5322,20.0403,65.28,88,100,11.68,ZA,2021-12-09 18:52:46
180,Batagay,67.6333,134.6333,-37.21,100,94,1.97,RU,2021-12-09 18:52:47
181,Kargasok,59.0556,80.8572,9.43,93,96,10.04,RU,2021-12-09 18:52:47
182,Salta,-24.7859,-65.4117,79.39,57,40,5.01,AR,2021-12-09 18:50:31
183,Esperance,-33.8667,121.9,62.44,69,91,18.43,AU,2021-12-09 18:52:47
184,Cantaura,9.3057,-64.3584,95.14,30,81,8.68,VE,2021-12-09 18:52:48
185,Novyy Buyan,53.6861,50.0469,28.56,93,100,3.47,RU,2021-12-09 18:52:48
186,Mlimba,-8.8,35.8167,74.93,75,7,3.36,TZ,2021-12-09 18:52:48
187,Kongolo,-5.3833,27.0,71.62,92,11,0.27,CD,2021-12-09 18:52:49
188,Kahului,20.8947,-156.47,78.84,76,20,3.44,US,2021-12-09 18:52:49
189,Horodnytsya,50.807,27.3168,33.3,98,100,9.82,UA,2021-12-09 18:52:49
190,Chabahar,25.2919,60.643,71.91,33,15,2.55,IR,2021-12-09 18:52:49
191,Makokou,0.5738,12.8642,76.46,77,69,2.19,GA,2021-12-09 18:52:50
192,Leningradskiy,69.3833,178.4167,-10.34,95,100,20.69,RU,2021-12-09 18:52:50
193,Saskylakh,71.9167,114.0833,-12.51,97,100,6.93,RU,2021-12-09 18:52:50
194,Ghanzi,-21.5667,21.7833,83.62,32,100,7.23,BW,2021-12-09 18:52:51
195,Hasaki,35.7333,140.8333,41.4,67,100,18.52,JP,2021-12-09 18:52:51
196,Touros,-5.1989,-35.4608,86.9,68,81,15.52,BR,2021-12-09 18:52:51
197,Salalah,17.0151,54.0924,74.73,52,0,4.5,OM,2021-12-09 18:52:51
198,Ancud,-41.8697,-73.8203,81.23,58,0,6.89,CL,2021-12-09 18:52:52
199,Taltal,-25.4,-70.4833,66.07,71,24,7.23,CL,2021-12-09 18:48:10
200,Bhum,18.4667,75.6667,72.82,49,22,7.96,IN,2021-12-09 18:52:52
201,Kenai,60.5544,-151.2583,19.02,92,90,23.02,US,2021-12-09 18:52:53
