City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Trapani,IT,37.8333,12.6667,49.93,78,100,11.56,overcast clouds
160,Castro,BR,-24.7911,-50.0119,77.5,49,100,4.79,overcast clouds
161,Tessalit,ML,20.1986,1.0114,74.44,7,3,7.63,clear sky
162,Beloha,MG,-25.1667,45.05,74.19,81,86,10.69,overcast clouds
163,Avera,US,33.194,-82.5271,62.11,39,0,8.03,clear sky
164,Buchanan,LR,5.8808,-10.0467,82.36,80,17,8.3,few clouds
165,Thompson,CA,55.7435,-97.8558,7.39,90,99,1.16,overcast clouds
166,Richards Bay,ZA,-28.783,32.0377,72.59,82,100,10.36,overcast clouds
167,Victoria,HK,22.2855,114.1577,67.32,71,27,3.0,scattered clouds
168,Ormara,PK,25.2088,64.6357,72.16,43,100,4.47,overcast clouds
169,Hofn,IS,64.2539,-15.2082,40.64,86,100,5.26,overcast clouds
170,Ponta Delgada,PT,37.7333,-25.6667,59.72,67,40,12.66,scattered clouds
171,Alofi,NU,-19.0595,-169.9187,78.13,70,8,6.91,clear sky
172,Ozernovskiy,RU,51.5,156.5167,32.31,99,100,10.78,snow
173,Salinas,US,36.6777,-121.6555,56.82,65,100,2.15,overcast clouds
174,Bandarbeyla,SO,9.4942,50.8122,77.0,79,7,23.35,clear sky
175,Arman,RU,59.7,150.1667,12.58,94,100,9.13,light snow
176,Birao,CF,10.2849,22.7882,77.38,26,55,5.99,broken clouds
177,Krasnoarmeysk,RU,51.0239,45.6969,18.16,82,14,8.81,few clouds
178,Bathsheba,BB,13.2167,-59.5167,81.21,89,75,16.11,broken clouds
179,Iqaluit,CA,63.7506,-68.5145,5.7,71,100,1.99,overcast clouds
180,Norrtalje,SE,59.758,18.705,32.18,92,100,1.54,overcast clouds
181,Ingham,US,42.6,-84.3833,47.91,49,1,5.75,clear sky
182,Manggar,ID,-2.8833,108.2667,78.69,87,100,7.45,overcast clouds
183,Quesnel,CA,52.9999,-122.5029,23.95,82,100,6.62,overcast clouds
184,Toppenish,US,46.3774,-120.3087,44.35,65,90,6.89,overcast clouds
185,Hun,LY,29.1268,15.9477,53.46,49,1,8.05,clear sky
186,Quatre Cocos,MU,-20.2078,57.7625,77.09,68,100,15.01,overcast clouds
187,Adrar,MR,20.5022,-10.0711,72.86,13,66,9.82,broken clouds
188,Rincon,US,32.296,-81.2354,64.58,50,20,1.99,few clouds
189,Ventspils,LV,57.3894,21.5606,31.93,100,90,8.05,overcast clouds
190,Payakumbuh,ID,-0.2202,100.6308,70.63,99,100,1.54,overcast clouds
191,Manyana,BW,-23.4,21.7167,75.18,54,100,12.75,overcast clouds
192,Muscat,OM,23.6139,58.5922,69.82,62,11,4.7,few clouds
193,Cidreira,BR,-30.1811,-50.2056,74.82,75,0,10.51,clear sky
194,Constitucion,CL,-35.3333,-72.4167,62.22,56,0,18.34,clear sky
195,Alekseyevsk,RU,57.8406,108.3492,-4.13,100,97,3.31,overcast clouds
196,Hamilton,US,39.1834,-84.5333,49.75,47,1,1.01,clear sky
197,Zalantun,CN,48.0,122.7167,8.89,71,100,4.25,overcast clouds
198,Clyde River,CA,70.4692,-68.5914,-1.97,84,28,9.22,light snow
199,Salina,US,38.8403,-97.6114,56.17,25,1,16.11,clear sky
200,Honningsvag,NO,70.9821,25.9704,29.95,93,90,12.66,snow
201,Dudinka,RU,69.4058,86.1778,-21.53,91,100,6.29,overcast clouds
202,Pangnirtung,CA,66.1451,-65.7125,-3.75,71,94,5.37,overcast clouds
203,New Norfolk,AU,-42.7826,147.0587,49.5,74,25,2.1,scattered clouds
204,Albion,US,42.2431,-84.753,47.91,43,1,14.97,clear sky
